Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
D: Prioritization,Keep,Keep,prioramen,Prioritize: Near Amenities,"1i. Living near parks, public transportation, and other amenities",Prioritize: Near Amenities,radio,"3, Not Important: This is not important to you in your life right now. | 2, Important: This is important, but not a top priority in your life right now | 1, Most Important: This is one of the most important priorities in your life right now. | 4, Not Applicable: This does not apply to you.",0,"This variable indicates whether ""living near parks public transportation and other amenities"" is an important priority for the respondents right now. The response options are: Not Applicable, Not Important, Important, or Most Important.","This variable indicates whether ""living near parks public transporation and other amenities"" is an important priority for the respondent right now. The possible response options are: Not Applicable, Not Important, Important, or Most Important.",,312,787,962,796
D: Prioritization,Keep,Keep,fulfillamen,Fulfilling Priority: Near Amenities,Do you feel able to fulfill this priority right now?,Fulfilling Priority: Near Amenities,yesno,Yes | No,0,"This variable indicates whether respondents feel able to fulfill the priority ""living near parks, public transportation, and other amenities"" right now. The response options are: Yes and No.","This variable indicates whether a respondent feels able to fulfill the priority ""living near parks, public transportation, and other amenities"" right now. The possible response options are: Yes and No.",,215,657,692,703
D: Prioritization,Remove,Keep,priorfood,,"Accessing healthy, affordable food",,radio,"Most Important, Important, Not Important/Not Applicable",0,,, (2016 ONLY),316,0,0,0
D: Prioritization,Remove,Keep,fulfillfood,,Do you feel able to fulfill this priority right now?,,yesno,Yes | No,0,,, (2016 ONLY),248,0,0,0
D: Prioritization,Remove,Keep,prioractive,,Being physically active,,radio,"Most Important, Important, Not Important/Not Applicable",0,,, (2016 ONLY),311,0,0,0
D: Prioritization,Remove,Keep,fulfillactive,,Do you feel able to fulfill this priority right now?,,yesno,Yes | No,0,,, (2016 ONLY),232,0,0,0
D: Prioritization,Keep,Keep,priorschool,Prioritize: Children in Good School,1j. Putting my child(ren) in a good school district,Prioritize: Children in Good School,radio,"3, Not Important: This is not important to you in your life right now | 2, Important: This is important, but not a top priority in your life right now | 1, Most Important: This is one of the most important priorities in your life right now. | 4, Not Applicable: This does not apply to you.",0,"This variable indicates whether ""putting my child(ren) in a good school district"" is an important priority for the respondents right now. The response options are: Not Applicable, Not Important, Important, or Most Important.","This variable indicates whether ""putting my child(ren) in a good school district"" is an important priority for the respondent right now. The possible response options are: Not Applicable, Not Important, Important, or Most Important.",,302,766,962,757
D: Prioritization,Keep,Keep,fulfillschool,Fulfilling Priority: Children in Good School,Do you feel able to fulfill this priority right now?,Fulfilling Priority: Children in Good School,yesno,Yes | No,0,"This variable indicates whether respondents feel able to fulfill the priority ""putting my child(ren) in a good school district"" right now. The response options are: Yes and No.","This variable indicates whether a respondent feels able to fulfill the priority ""putting my child(ren) in a good school district"" right now. The possible response options are: Yes and No.",,170,498,495,417
D: Prioritization,Keep,Keep,prioreducat,Prioritize: Pursuing Own Education,1k. Pursuing my own education,Prioritize: Pursuing Own Education,radio,"3, Not Important: This is not important to you in your life right now | 2, Important: This is important, but not a top priority in your life right now | 1, Most Important: This is one of the most important priorities in your life right now. | 4, Not Applicable: This does not apply to you.",0,"This variable indicates whether ""pursuing my own education"" is an important priority for the respondents right now. The response options are: Not Applicable, Not Important, Important, or Most Important.","This variable indicates whether ""pursuing my own education"" is an important priority for the respondent right now. The possible response options are: Not Applicable, Not Important, Important, or Most Important.",,309,777,963,755
D: Prioritization,Keep,Keep,fulfilleducat,Fulfilling Priority: Pursuing Own Education,Do you feel able to fulfill this priority right now?,Fulfilling Priority: Pursuing Own Education,yesno,Yes | No,0,"This variable indicates whether respondents feel able to fulfill the priority ""pursuing my own education"" right now. The response options are: Yes and No.","This variable indicates whether a respondent feels able to fulfill the priority ""pursuing my own education"" right now. The possible response options are: Yes and No.",,193,534,484,467
D: Prioritization,Keep,Keep,priorgoodjob,Prioritize: Having a Good Job,1l. Having a good job,Prioritize: Having a Good Job,radio,"3, Not Important: This is not important to you in your life right now | 2, Important: This is important, but not a top priority in your life right now | 1, Most Important: This is one of the most important priorities in your life right now. | 4, Not Applicable: This does not apply to you.",0,"This variable indicates whether ""having a good job"" is an important priority for the respondents right now. The response options are: Not Applicable, Not Important, Important, or Most Important.","This variable indicates whether ""having a good job"" is an important priority for the respondent right now. The possible response options are: Not Applicable, Not Important, Important, or Most Important.",,312,775,969,779
D: Prioritization,Keep,Keep,fulfillgoodjob,Fulfilling Priority: Having a Good Job,Do you feel able to fulfill this priority right now?,Fulfilling Priority: Having a Good Job,yesno,Yes | No,0,"This variable indicates whether respondents feel able to fulfill the priority ""having a good job"" right now. The response options are: Yes and No.","This variable indicates whether a respondent feels able to fulfill the priority ""having a good job"" right now. The possible response options are: Yes and No.",,223,633,690,585
D: Prioritization,Keep,Keep,priorsave,Prioritize: Saving Money,1m. Saving money or building wealth,Prioritize: Saving Money,radio,"3, Not Important: This is not important to you in your life right now | 2, Important: This is important, but not a top priority in your life right now | 1, Most Important: This is one of the most important priorities in your life right now. | 4, Not Applicable: This does not apply to you.",0,"This variable indicates whether ""saving money a building wealth"" is an important priority for the respondents right now. The response options are: Not Applicable, Not Important, Important, or Most Important.","This variable indicates whether ""saving money a building wealth"" is an important priority for the respondent right now. The possible response options are: Not Applicable, Not Important, Important, or Most Important.",,314,782,959,785
D: Prioritization,Keep,Keep,fulfillsave,Fulfilling Priority: Saving Money,Do you feel able to fulfill this priority right now?,Fulfilling Priority: Saving Money,yesno,Yes | No,0,"This variable indicates whether respondents feel able to fulfill the priority ""saving money or building wealth"" right now. The response options are: Yes and No.","This variable indicates whether a respondent feels able to fulfill the priority ""saving money or building wealth"" right now. The possible response options are: Yes and No.",,247,679,743,681
D: Prioritization,Remove,Keep,priornearfam_OLD,,Living near my family,,radio,"Most Important, Important, Not Important/Not Applicable",0,,,,311,0,0,0
D: Prioritization,Remove,Keep,fulfillnearfam_OLD,,Do you feel able to fulfill this priority right now?,,yesno,Yes | No,0,,,,218,0,0,0
D: Prioritization,Remove,Keep,prioropen,,"2a. In your own words, what is your most important priority in life right now? It can be one of choices you just read or something else we didn't ask about.    ",,notes,Respodents' most imporatnt priority in life right now,0,,,,0,606,892,692
D: Prioritization,Keep,Keep,fulfillpriority,Fulfilling Priority: Most Important Priority,2b. Do you feel able to fulfill this priority right now?,Fulfilling Priority: Most Important Priority,yesno,Yes | No,0,This variable indicates whether respondents feel able to fulfill their most important priority in life right now. The response options are: Yes and No.,This variable indicates whether a respondent feels able to fulfill their most imporatn priority in life right now. The possible response options are: Yes and No.,,0,0,840,642
E: Financial Security,Remove,Keep,incnextmonth2016,,"Thinking about all sources of income, do you know what your personal or family's next month's income will be?",,radio,"1, I have a very good idea| 2, I have some idea| 3, I am not very sure| 4, I am very unsure",0,,,(2016 ONLY),359,0,0,0
E: Financial Security,Remove,Keep,incmonthexp2016,,"Thinking about all of your monthly costs, do you know what your personal or family's expenses will be nexth month?",,radio,"1, I have a very good idea| 2, I have some idea| 3, I am not very sure| 4, I am very unsure",0,,,(2016 ONLY),357,0,0,0
E: Financial Security,Remove,Keep,incdescmonth,,What best describes your households income each month?,,radio,"Income is about the same each month, Income varies somewhat month to month, Income varies a lot month to month.",0,,,,344,0,0,0
E: Financial Security,Keep,Keep,incnextmonth,Predictability of monthly income on a scale of 1-10,"1a. How predictable is your monthly INCOME, on a scale of 1 (very unpredictable) to 10 (exactly the same each month)? ",Predictability of Monthly Income,radio,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",0,"This variable provides responses to the survey question: ""How predictable is your monthly income, on a scale of 1 (very unpredictable) to 10 (exactly the same each month)?"" The response options are: 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10.","This variable provides responses to the survey question ""How predictable is your monthly income, on a scale of 1 (very unpredictable) to 10 (exactly the same each month)?"" The possible response options are: 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10.",,0,797,982,750
E: Financial Security,Keep,Keep,incmonthexp,Predictability of monthly expenses on a scale of 1-10,"1b. How predictable are your monthly EXPENSES, on a scale of 1 (very unpredictable) to 10 (exactly the same each month)? ",Predictability of Monthly Expenses,radio,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",0,"This variable provides responses to the survey question: ""How predictable are your monthly expenses, on a scale of 1 (very unpredictable) to 10 (exactly the same each month)? ?"" The response options are: 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10.","This variable provides responses to the survey question ""How predictable are your monthly expenses, on a scale of 1 (very unpredictable) to 10 (exactly the same each month)? ?"" The possible response options are: 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10.",,0,795,983,747
E: Financial Security,Remove,Keep,incomemonthyear,,"In the next question, we're going to ask you about your income. Do you prefer to answer your income in months (e.g. $1,250-2,000 per month) or annually (e.g.  $15-30k)",,radio,"1, Monthly | 2, Annually",0,,,,0,784,962,698
E: Financial Security,Keep,Keep,hhincomemonth,Monthly Income,1c. Approximately how much is your income each month? ,Monthly Income,radio,"1, less than  $1,250 | 2, $1,250 to $2,499 | 3, $2,500 to $4,999 | 4, $5,000 to $7,499 | 5, $7,500 to $9,999 | 7, $10,000 or more | 9, Don't know",0,"This variable provides a respondents' approximate monthly income. The possible response options are: less than $1,250, $1,250 to $2,499, $2,500 to $4,999, $5,000 to $7,499, $7,500 to $9,999, $10,000 or more, and Don't know. For the Fall 2018-Spring 2019 dataset, these values are provided in both monthly and annual buckets. For the Fall 2019-Spring 2020 dataset, the respondent is given an option between answering monthly or annually. Then, skip-logic allows the respondent to choose only monthly or annual numbers, based on what they said in this question.","This variable provides a respondent's approximate monthly income. The possible response options are: less than $1,250, $1,250 to $2,499, $2,500 to $4,999, $5,000 to $7,499, $7,500 to $9,999, $10,000 or more, and Don't know. For the Fall 2018-Spring 2019 dataset, these values are provided in both monthly and annual buckets. For the Fall 2019-Spring 2020 dataset, the resopndent is given an option between answering monthly or annually. Then, skip-logic allows the respondent to choose only monthly or annual numbers, based on what they said in this question.",,0,0,710,578
E: Financial Security,Keep,Keep,hhincomeyear,Annual Income,1c. Approximately how much is your annual income?,Annual Income,radio,"1, Less than $15k | 2, $15k-<$30k | 3, $30k-<$60k | 4, $60k-<$90k | 5, $90k-<$120k | 6, $120k or more | 7, Don't know",0,"This variable provides a respondents' approximate annual income. The possible response options are: Less than $15k, $15k to $30k, $30k to $60k, $60k to $90k, $90k to $120k, $120k or more, and Don't know.For the Fall 2018-Spring 2019 dataset, these values are provided in both monthly and annual buckets. For the Fall 2019-Spring 2020 dataset, the respondent is given an option between answering monthly or annually. Then, skip-logic allows the respondent to choose only monthly or annual numbers, based on what they said in this question.","This variable provides a respondent's approximate annual income. The possible response options are: Less than $15k, $15k to $30k, $30k to $60k, $60k to $90k, $90k to $120k, $120k or more, and Don't know.For the Fall 2018-Spring 2019 dataset, these values are provided in both monthly and annual buckets. For the Fall 2019-Spring 2020 dataset, the resopndent is given an option between answering monthly or annually. Then, skip-logic allows the respondent to choose only monthly or annual numbers, based on what they said in this question.",,0,0,251,199
E: Financial Security,Remove,Remove,hhincomemonth2017,,1c. Approximately how much is your income each month?,,radio,"1, less than  $1,250 | 2, $1,250 to $2,499 | 3, $2,500 to $4,999 | 4, $5,000 to $7,499 | 5, $7,500 to $9,999 | 7, $10,000 or more | 9, Don't know",0,,,,0,490,0,0
E: Financial Security,Remove,Remove,hhincomeyear2017,,1c. Approximately how much is your annual income?,,radio,"1, Less than $15k | 2, $15k-<$30k | 3, $30k-<$60k | 4, $60k-<$90k | 5, $90k-<$120k | 6, $120k or more | 7, Don't know",0,,,,0,294,0,0
E: Financial Security,Remove,Remove,hhincomeest,,How much money does your HOUSEHOLD earn in one MONTH? ,,radio,"1, Less than  $1,250 | 2, $1,250 to $2,100 | 3, $2,100 to $2,900 | 4, $2,900 to $4,150 | 5, $4,150 to $6,250  | 7, $6,250 to $8,300 | 8, $8,300 or more | 9, Don't know",0,,,(2016 ONLY),332,0,0,0
E: Financial Security,Keep,Keep,inchardcover,Difficulty Covering Expenses,2. How hard is it for you to cover your expenses and pay all your bills month to month?,Difficulty Covering Monthly Expenses,radio,"1, Very hard | 2, Somewhat hard | 3, Easy | 4, Very easy | 5, Don't know",0,"This variable provides responses to the survey question: ""How hard is it for you to cover your expenses and pay all your bills month to month?"" The response options are: Very Hard, Somewhat Hard, Easy, Very Easy, and Don't Know.","This variable provides responses to the survey question ""How hard is it for you to cover your expenses and pay all your bills month to month?"" The possible response options are: Very Hard, Somewhat Hard, Easy, Very Easy, and Don't Know.",,354,812,989,762
E: Financial Security,Keep,Keep,incshort,Short paying monthly bills,3a. Think about the last 5 years; has there ever been a month when you came up short paying your bills?,Short paying monthly bills,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Think about the last 5 years; has there ever been a month when you came up short paying your bills?"" The response options are: Yes and No.","This variable provides responses to the survey question ""Think about the last 5 years; has there ever been a month when you came up short paying your bills?"" The possible response options are: Yes and No.",,348,802,958,714
E: Financial Security,Keep,Keep,incshrtbor,Income short: Borrowed money,,Income short: Borrowed money,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents borrowed money from a friend or family the last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent borrowed money from a friend or family the last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Remove,Remove,incshrtnoth,,,,checkbox,"Checked, Unchecked",0,,,,215,0,0,0
E: Financial Security,Keep,Keep,incshrtlate,Income short: Paid late,,Income short: Paid late,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents paid their bills late the last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent paid their bills late the last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Keep,Keep,incshrtfood,Income short: Didn't buy food,,Income short: Didn't buy food,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents did not buy food the last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent did not buy food the last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,0,877,1040,822
E: Financial Security,Keep,Keep,incshrtsell,Income short: Sold something,,Income short: Sold something,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents sold something the last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent sold something the last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Keep,Keep,incshrtskip,Income short: Skipped payment,,Income short: Skipped payment,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents skipped their payment last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent skipped their payment last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Remove,Remove,incshrtbank,,,,checkbox,"Checked, Unchecked",0,,,(2016-2018),215,877,0,0
E: Financial Security,Remove,Remove,incshrtpayday,,,,checkbox,"Checked, Unchecked",0,,,(2016-2018),215,877,0,0
E: Financial Security,Keep,Keep,incshrtloan,Income short: Loan,,Income short: Loan,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents took out a loan the last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent took out a loan the last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Keep,Keep,incshrtcredit,Income short: Used credit,,Income short: Used credit,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents used credit the last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent used credit the last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Keep,Keep,incshrtwork,Income short: Worked more,,Income short: Worked more,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents worked more the last time they came up short paying their monthly bills. The response options are: Checked and Unchecked.,This variable indicates whether a respondent worked more the last time they came up short paying their monthly bills. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Keep,Keep,incshrtother,Income short: Other,,Income short: Other,checkbox,"Checked, Unchecked",0,This variable indicates whether respondents dealt with an inability to pay their monthly bills in another way not listed in the survey options. The response options are: Checked and Unchecked.,This variable indicates whether a respondent dealt with an inability to pay their monthly bills in a way not listed in the survey options. The possible response options are: Checked and Unchecked.,,215,877,1040,822
E: Financial Security,Remove,Keep,incshrtothtxt,,What else did you do when you were short paying your bills?,,text,Other options for dealing with an inability to pay ones monthly bills.,0,,,,13,29,13,16
E: Financial Security,Keep,Keep,expburdhouse,Expense Burden: Housing,,Expense Burden: Housing,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Housing"" in response to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" The response options are: Checked and Unchecked.",This variable indicates whether housing is an expense that create financial problems or hardships for the respondent.,,0,0,1040,822
E: Financial Security,Keep,Keep,expburdtransport,Expense Burden: Transportation,,Expense Burden: Transportation,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Transportation"" in response to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" The response options are: Checked and Unchecked.",This variable indicates whether transportation is an expense that create financial problems or hardships for the respondent.,,0,0,1040,822
E: Financial Security,Keep,Keep,expburdcare,Expense Burden: Childcare/Eldercare,,Expense Burden: Childcare/Eldercare,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Childcare/Eldercare"" in response to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" The response options are: Checked and Unchecked.",This variable indicates whether childcare or eldercare are expenses that create financial problems or hardships for the respondent.,,0,0,1040,822
E: Financial Security,Keep,Keep,expburddebt,Expense Burden: Debt/Student Loans,,Expense Burden: Debt/Student Loans,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Debt/Student Loans"" in response to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" The response options are: Checked and Unchecked.",This variable indicates whether medical or health costs are expenses that create financial problems or hardships for the respondent.,,0,0,1040,822
E: Financial Security,Keep,Keep,expburdhealth,Expense Burden: Medical/Health,,Expense Burden: Medical/Health,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Medical/Health"" in response to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" The response options are: Checked and Unchecked.",This variable indicates whether debt or student loans are expenses that create financial problems or hardships for the respondent.,,0,0,1040,822
E: Financial Security,Keep,Keep,expburdother,Expense Burden: Other,,Expense Burden: Other,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Other"" in response to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" The response options are: Checked and Unchecked.",This variable indicates whether an expense not listed in the survey options creates financial problems or hardships for the respondent,,0,0,1040,822
E: Financial Security,Keep,Keep,expburdnone,Expense Burden: None,,Expense Burden: None,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""None"" in response to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" The response options are: Checked and Unchecked.",This variable indicates whether none of the expenses listed on the survey create financial problems or hardships for the respondent.,,0,0,1040,822
E: Financial Security,Remove,Keep,expenseburdenother,,2c. What other expenses create financial problems or hardships for you?,,text,Other expenses that create finacial hardships for respondents.,0,,,,0,0,74,64
E: Financial Security,Keep,Keep,expenseburden_cat,Expense Burden Categories,,Expense Burdens,,"Housing, Transportation, Childcare/eldercare, Debt/student loans, Medical/Health, Multiple Reasons, None, Other",1,"This variable was created using responses to the survey question: ""Do any of the expenses below create financial problems or hardships for you?"" Responses are categorized into eight groups: Housing, Transportation, Childcare/eldercare, Debt/student loans, Medical/Health, Multiple Reasons, None, and Other.","This variable is constructed. It is based on respondent's answers to questions about expenses that create financial problems or hardships. The answers are divided into 8 categories: Housing, Transportation, Childcare/eldercare, Debt/student loans, Medical/Health, Multiple Reasons, None, and Other.",,0,0,931,735
E: Financial Security,Keep,Keep,employment_2020,Employment Status,,Employment Status,,"Can't work (ex. Because of a disability), Employed full-time, Employed part-time, Not looking for paid work (ex. Student, parent, retired), Unemployed or laid off, other",1,"This variable was created using responses to the survey questions regarding employment status. Responses are categorized into six groups: Can't work (ex. Because of a disability), Employed full-time, Employed part-time, Not looking for paid work (ex. Student, parent, retired), Unemployed or laid off, and Other.","This variable is constructed. It encapsulates employment responses across all survey cohorts. Possible values are : Can't work (ex. Because of a disability), Employed full-time, Employed part-time, Not looking for paid work (ex. Student, parent, retired), Unemployed or laid off, and Other.",,356,781,928,757
E: Financial Security,Remove,Keep,employment_other,,Other: How would you describe your current employment?,,text,Other Employment Status,0,,,,0,0,0,49
E: Financial Security,Remove,Remove,employment,,4. Select which most closely describes your employment status. ,,radio,"1, Employed, full time | 2, Employed, part time | 3, Unemployed, laid off | 4, Not looking for paid work (ex. Student, parent, retired) | 5, Can't work (ex. Because of a disability) | 6, Other",0,,,,0,0,0,757
E: Financial Security,Remove,Remove,workpay,,"4a. Do you currently work for pay?
",,yesno,"Yes, No",1,,,,0,805,973,757
E: Financial Security,Remove,Remove,emp_binary,,,,,"Employed, Unemployed",1,,,,346,781,928,757
E: Financial Security,Remove,Remove,emp_cat,,,,,"Employed - Full-Time, Employed - Part-Time, Unemployed - Disabled, Unemployed - Laid off, Unemployed - Multiple Reasons, Unemployed - Not Sure Why, Unemployed - Student, Unemployed -Teacher, Unemployed - Retired, Unemployed - Unemployed",1,,,,356,781,0,0
E: Financial Security,Remove,Remove,emp_4cat,,,,,"Employed - Full-Time, Employed - Part-Time, Unemployed - Disabled, Unemployed - Laid off or Unemployed, Unemployed - Multiple Reasons, Unemployed - Not Sure Why, Unemployed - Student, Teacher, or Retired",1,,,,356,781,928,0
E: Financial Security,Remove,Remove,emp35,,4b. Do you work:,,radio,"0, Part time | 1, Full time",0,,,,218,504,577,460
E: Financial Security,Remove,Remove,empnone,,4c. Are you: ,,radio,"1, Not looking for work (e.g. student, parent, retired) | 2, Unemployed/laid off | 3, Disabled/can't work",0,,,,0,0,351,0
E: Financial Security,Remove,Remove,empjobs,,Do you currently have more than one job? ,,radio,"One job, More than one job",0,,,(2016 ONLY),218,0,0,0
E: Financial Security,Remove,Remove,emplook,,Are you currently looking for work even if employed? ,,radio,"Looking for work, Not looking for work",0,,,(2016 ONLY),332,0,0,0
E: Financial Security,Remove,Remove,notemployed___1,,4c. Are you currently... (choice=Student),,checkbox,"Checked, Unchecked",0,,,,0,877,0,0
E: Financial Security,Remove,Remove,notemployed___2,,4c. Are you currently... (choice=Parent),,checkbox,"Checked, Unchecked",0,,,,0,877,0,0
E: Financial Security,Remove,Remove,notemployed___3,,4c. Are you currently... (choice=Retired),,checkbox,"Checked, Unchecked",0,,,,0,877,0,0
E: Financial Security,Remove,Remove,notemployed___4,,4c. Are you currently... (choice=Unemployed),,checkbox,"Checked, Unchecked",0,,,,0,877,0,0
E: Financial Security,Remove,Remove,notemployed___5,,4c. Are you currently... (choice=Disabled),,checkbox,"Checked, Unchecked",0,,,,0,877,0,0
E: Financial Security,Remove,Remove,notemployed___6,,4c. Are you currently... (choice=Laid off),,checkbox,"Checked, Unchecked",0,,,,0,877,0,0
E: Financial Security,Remove,Remove,notemployed___7,,4c. Are you currently... (choice=None of the above),,checkbox,"Checked, Unchecked",0,,,,0,877,0,0
E: Financial Security,Remove,Remove,unemp_cat,,,,na,"Unemployed - Disabled, Unemployed - Laid off, Unemployed - Multiple Reasons, Unemployed - Not Sure Why, Unemployed - Student, Unemployed -Teacher, Unemployed - Retired, Unemployed - Unemployed",1,,,,140,278,0,0
F: Food Security,Keep,Keep,monthhunger,"Food Security: In the past month, was there any day when you or your family went hungry because there wasn't enough money for food?","1. In the past month, was there any day when you or your family went hungry because there wasn't enough money for food?","Food Security: In the past month, was there any day when you or your family went hungry because there wasn't enough money for food?",yesno,"Yes, No",0,"This variable provides responses to the survey question: ""In the past month, was there any day when you or your family went hungry because there wasn't enough money for food?"" The response options are: Yes and No.","This variable provides responses to the survey question ""In the past month, was there any day when you or your family went hungary because there wasn't enough money for food?"" The possibe response options are: Yes and No.",,356,821,996,769
F: Food Security,Keep,Keep,monthnutrit,"Food Security: In the past month, how often did you NOT have enough money to eat well-balanced nutritious meals?","2. In the past month, how often did you NOT have enough money to eat well-balanced nutritious meals? (A balanced meal includes types of food you think should be in a healthy meal. For example, a starch like potatoes or rice, vegetables or fruit, and some protein like meat, fish, cheese, or eggs.)","Food Security: In the past month, how often did you NOT have enough money to eat well-balanced nutritious meals?",radio,"1, Almost never | 2, Once a week or less | 3, Once or twice a week | 4, Most days of the week | 5, Everyday",0,"This variable provides responses to the survey question: ""In the past month, how often did you not have enough money to eat well-balanced nutritious meals?"" The response options are: Almost never, Once a week or less, Once or twice a week, Most days of the week, and Every day.","This variable provides responses to the survey question ""In the past month, how often did you not have enough money to eat well-balanced nutrious meals?"" The possibe response options are: Almost never, Once a week or less, Once or twice a week, Most days of the week, and Every day.",,358,790,986,772
F: Food Security,Keep,Keep,monthfreshfd,"Food Security: In the past month, how often did you prepare foods at home using fresh meat, fruits, or vegetables?","3. In the past month, how often did you prepare foods at home using fresh meat, fruits, or vegetables?","Food Security: In the past month, how often did you prepare foods at home using fresh meat, fruits, or vegetables?",radio,"1, Almost never | 2, Once a week or less | 3, Most days of the week | 4, Every day | 5, Don't know",0,"This variable provides responses to the survey question: ""In the past month, how often did you prepare foods at home using fresh meat, fruits, or vegetables?"" The response options are: Almost never, Once a week or less, Most days of the week, Every day, and Don't know.","This variable provides responses to the survey question ""In the past month, how often did you prepare foods at home using fresh meat, fruits, or vegtables?"" The possibe response options are: Almost never, Once a week or less, Most days of the week, Every day, and Don't know.",,361,823,986,770
F: Food Security,Remove,Remove,growfood,,4. Do you grow your own food? (ie have a garden or participate in a community garden?),,yesno,"Yes, No",0,,,,0,826,0,0
G: Social Support,Keep,Keep,ssfavors,Social Support: Is there anyone you could count on for everyday favors?,"1a. Is there anyone you could count on for everyday favors like getting a ride, borrowing a little money, or errands?",Social Support: Is there anyone you could count on for everyday favors?,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Is there anyone you could count on for everyday favors like getting a ride, borrowing a little money, or errands?"" The response options are: Yes and No.","This variable provides responses to the survey question: ""Is there anyone you could count on for everyday favors like getting a ride, borrowing a little money, or errands?"" The possible response options are: Yes and No.",,365,822,1008,793
G: Social Support,Keep,Keep,sssick,Social Support: Is there anyone you could count on to take care of you if you were confined to your bed for several weeks?,1b. Is there anyone you could count on to take care of you if you were confined to your bed for several weeks?,Social Support: Is there anyone you could count on to take care of you if you were confined to your bed for several weeks?,yesno,"Yes, No",0,"This variable provides responses to the survey question: "" Is there anyone you could count on to take care of you if you were confined to your bed for several weeks?"" The response options are: Yes and No.","This variable provides responses to the survey question: "" Is there anyone you could count on to take care of you if you were confined to your bed for several weeks?"" The possible response options are: Yes and No.",,369,819,1008,786
G: Social Support,Keep,Keep,sslend,Social Support: Is there anyone who you could count on to lend you several hundred dollars for a medical emergency?,1c. Is there anyone you know who you could count on to lend you several hundred dollars for a medical emergency?,Social Support: Is there anyone who you could count on to lend you several hundred dollars for a medical emergency?,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Is there anyone who you could count on to lend you several hundred dollars for a medical emergency?"" The response options are: Yes and No.","This variable provides responses to the survey question ""Is there anyone who you could count on to lend you several hundred dollars for a medical emergency?"" The possible response options are: Yes and No.",,364,812,1008,786
F: Food Security,Remove,Remove,sstalk,,Is there anyone you could talk to if you were having trouble with family relationships?,,yesno,"Yes, No",0,,,,364,0,0,0
